Benchmark,Coverage Strategy,Prioritization Strategy,Exposed Faults Count,Expose Faults,Total Faulty Versions,Percentage Exposed Faults
tcas,StatementCoverage,RandomPrioritization,11,"['v22', 'v23', 'v28', 'v29', 'v30', 'v33', 'v35', 'v36', 'v37', 'v38', 'v40']",41,26.82926829268293
tcas,StatementCoverage,TotalPrioritization,8,"['v1', 'v16', 'v23', 'v28', 'v30', 'v35', 'v36', 'v40']",41,19.51219512195122
tcas,StatementCoverage,AdditionalPrioritization,9,"['v1', 'v7', 'v17', 'v23', 'v28', 'v30', 'v35', 'v36', 'v40']",41,21.951219512195124
tcas,BranchCoverage,RandomPrioritization,16,"['v1', 'v3', 'v12', 'v16', 'v20', 'v21', 'v26', 'v28', 'v30', 'v33', 'v34', 'v35', 'v36', 'v37', 'v38', 'v40']",41,39.02439024390244
tcas,BranchCoverage,TotalPrioritization,13,"['v2', 'v14', 'v18', 'v22', 'v23', 'v28', 'v29', 'v30', 'v33', 'v35', 'v36', 'v37', 'v40']",41,31.70731707317073
tcas,BranchCoverage,AdditionalPrioritization,13,"['v1', 'v7', 'v17', 'v22', 'v23', 'v28', 'v29', 'v30', 'v33', 'v35', 'v36', 'v37', 'v40']",41,31.70731707317073
totinfo,StatementCoverage,RandomPrioritization,11,"['v1', 'v7', 'v8', 'v11', 'v13', 'v15', 'v16', 'v18', 'v19', 'v20', 'v21']",23,47.82608695652174
totinfo,StatementCoverage,TotalPrioritization,12,"['v1', 'v5', 'v7', 'v8', 'v9', 'v10', 'v11', 'v12', 'v13', 'v15', 'v16', 'v20']",23,52.17391304347826
totinfo,StatementCoverage,AdditionalPrioritization,12,"['v1', 'v5', 'v7', 'v8', 'v9', 'v11', 'v12', 'v13', 'v15', 'v16', 'v20', 'v21']",23,52.17391304347826
totinfo,BranchCoverage,RandomPrioritization,12,"['v1', 'v7', 'v8', 'v9', 'v11', 'v13', 'v15', 'v16', 'v18', 'v20', 'v21', 'v23']",23,52.17391304347826
totinfo,BranchCoverage,TotalPrioritization,13,"['v1', 'v5', 'v7', 'v8', 'v9', 'v10', 'v11', 'v12', 'v13', 'v15', 'v16', 'v18', 'v20']",23,56.52173913043478
totinfo,BranchCoverage,AdditionalPrioritization,13,"['v1', 'v5', 'v7', 'v8', 'v9', 'v11', 'v12', 'v13', 'v15', 'v16', 'v20', 'v21', 'v23']",23,56.52173913043478
